ASV,ID,Level,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_187,Chromadorea,Subclass,Animalia,Nematoda,,,,,
ASV_109,Arthropoda,Phylum,Animalia,Arthropoda,,,,,
ASV_176,Suidasia,Genus,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Suidasiidae,Suidasia,
ASV_23,Araneae,Order,Animalia,Arthropoda,Arachnida,Araneae,,,
ASV_100,Araneomorphae,Infraorder,Animalia,Arthropoda,Arachnida,Araneae,,,
ASV_12,Hasarius adansoni,Species,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,adansoni
ASV_178,Cytaea cf. sinuata JXZ-2013,Species,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Cytaea,sinuata
ASV_1,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_3,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_8,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_9,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_13,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_14,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_22,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_25,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_29,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_31,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_32,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_36,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_42,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_46,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_53,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_64,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_67,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_83,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_89,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_98,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_105,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_136,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_140,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_159,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_166,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_189,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_201,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_208,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_213,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,
ASV_137,Buthus mariefranceae,Species,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus mariefranceae
ASV_107,Tygarrup javanicus,Species,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus
ASV_108,Anchiphiloscia pilosa,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Anchiphiloscia,Anchiphiloscia pilosa
ASV_170,Littorophiloscia bifasciata,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Halophilosciidae,Littorophiloscia,Littorophiloscia bifasciata
ASV_24,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,
ASV_26,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,
ASV_52,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,
ASV_59,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,
ASV_68,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,
ASV_94,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,
ASV_138,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,
ASV_197,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,
ASV_145,Lepidoptera,Order,Animalia,Arthropoda,Insecta,Lepidoptera,,,
ASV_34,Conoderus pallipes,Species,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes
ASV_4,Scholastes lonchifer,Species,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer
ASV_50,Scholastes lonchifer,Species,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer
ASV_65,Scholastes lonchifer,Species,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer
ASV_113,Nematocera,Suborder,Animalia,Arthropoda,Insecta,Diptera,,,
ASV_96,unclassified Limoniidae,Family,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,,
ASV_163,Linepithema humile,Species,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile
ASV_177,unclassified Hemiptera,Order,Animalia,Arthropoda,Insecta,Hemiptera,,,
ASV_194,unclassified Hemiptera,Order,Animalia,Arthropoda,Insecta,Hemiptera,,,
ASV_155,Hemiptera sp. BIOUG03439-H02,Order,Animalia,Arthropoda,Insecta,Hemiptera,,,
ASV_5,Anisolabis,Genus,Animalia,Arthropoda,Insecta,Dermaptera,Anisolabididae,Anisolabis,
ASV_15,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
ASV_20,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
ASV_27,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
ASV_47,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
ASV_95,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
ASV_106,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
ASV_117,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
ASV_147,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
ASV_169,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
ASV_48,Diploptera punctata,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Diploptera,Diploptera punctata
ASV_21,unclassified Ectobiidae,Family,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,,
ASV_121,unclassified Ectobiidae,Family,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,,
ASV_18,Periplaneta,Genus,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,
ASV_93,Periplaneta,Genus,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,
ASV_77,Orthoptera,Order,Animalia,Arthropoda,Insecta,Orthoptera,,,
ASV_150,Orthoptera,Order,Animalia,Arthropoda,Insecta,Orthoptera,,,
ASV_6,Acrididae,Family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,
ASV_19,Acrididae,Family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,
ASV_33,Acrididae,Family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,
ASV_85,Acrididae,Family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,
ASV_154,Acrididae,Family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,
ASV_76,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae
ASV_80,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae
ASV_156,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae
ASV_97,Pantala flavescens,Species,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens
ASV_128,Bdelloidea,Class,Animalia,Rotifera,Bdelloidea,,,,
