ASV,ID,Level,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_67,Anchiphiloscia pilosa,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Anchiphiloscia,Anchiphiloscia pilosa
ASV_2,Anisolabis maritima,Species,Animalia,Arthropoda,Insecta,Dermaptera,Anisolabididae,Anisolabis,Anisolabis maritima
ASV_71,Aspergillus niger,Species,Fungi,,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus niger
ASV_136,Cochliopodium sp.,Genus,,,Discosea,Himatismenida,Cochliopodiidae,Cochliopodium,
ASV_19,Conoderus pallipes,Species,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes
ASV_27,Diploptera punctata,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Diploptera,Diploptera punctata
ASV_92,Erechthias simulans,Species,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Erechthias,Erechthias simulans
ASV_6,Hasarius adansoni,Species,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,Hasarius adansoni
ASV_59,Limonia perkinsi,Species,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Limonia,Limonia perkinsi
ASV_104,Linepithema humile,Species,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile
ASV_51,Neurospora crassa,Species,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora crassa
ASV_43,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae
ASV_47,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae
ASV_101,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae
ASV_60,Pantala flavescens,Species,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens
ASV_21,Penicillium citrinum,Species,Fungi,,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium citrinum
ASV_9,Periplaneta australasiae,Species,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta australasiae
ASV_56,Periplaneta australasiae,Species,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta australasiae
ASV_44,Phisis holdhausi,Species,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Phisis,Phisis holdhausi
ASV_96,Phisis holdhausi,Species,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Phisis,Phisis holdhausi
ASV_69,Phytophthora nicotianae,Species,Fungi,,Oomycota,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora nicotianae
ASV_7,Pycnoscelus sp. B103,Genus,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,
ASV_11,Pycnoscelus surinamensis,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
ASV_25,Pycnoscelus surinamensis,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
ASV_94,Pycnoscelus surinamensis,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
ASV_107,Pycnoscelus surinamensis,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis
ASV_90,Saccharomyces cerevisiae YJM1527,Species,Fungi,,Saccharomycetes,Saccharomycetales,Saccharaomycetaceae,Saccharomyces,Saccharomyces cerevisiae
ASV_1,Scholastes lonchifer,Species,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer
ASV_36,Scholastes lonchifer,Species,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer
