Zotu35,"Eukaryota"
Zotu10,"Acanthamoeba"
Zotu32,"Diderma"
Zotu2,"Hortaea thailandica"
Zotu3,"Dothideales"
Zotu17,"Albatrellus"
Zotu47,"Cortinarius cf. violaceus TRTC155606"
Zotu1,"Tremellales"
Zotu74,"Rhodotorula"
Zotu40,"Rhodotorula mucilaginosa"
Zotu4,"Bilateria"
Zotu14,"Bilateria"
Zotu44,"Homo sapiens"
Zotu48,"Homo sapiens"
Zotu54,"Homo sapiens"
Zotu59,"Homo sapiens"
Zotu65,"Homo sapiens"
Zotu16,"Lepidodactylus"
Zotu72,"Centruroides sculpturatus"
Zotu11,"Neoptera"
Zotu22,"Xiphydria sp. ZJUH 2008002"
Zotu5,"Rhodymeniophycidae"
