ASV,ID,Category,Level,Kingdom,Phylum,Class,Order,Family,Genus,Species,BLAST_ID,BLAST_Category,BLAST_Level,BLAST_Kingdom,BLAST_Phylum,BLAST_Class,BLAST_Order,BLAST_Family,BLAST_Genus,BLAST_Species
Zotu100,Acremonium,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu101,Diderma,non-diet,Genus,,,,Physariida,Didymiaceae,Diderma,,,,,,,,,,,
Zotu102,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu105,Sydowia,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu107,Hydra,non-diet,,,,,,,,,Eukaryota,unknown,higher,,,,,,,
Zotu111,Neurospora crassa OR74A,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu112,Leohumicola,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu113,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu114,Rhodotorula mucilaginosa,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu119,Aspergillus,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu12,leotiomyceta,non-diet,,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu122,Phytophthora,non-diet,,,,Oomycetes,,,,,,,,,,,,,,
Zotu123,leotiomyceta,non-diet,,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu125,Synchaetomella acerina,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu128,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu130,Cordycipitaceae,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu135,Fusarium,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu136,Homo sapiens,non-diet,Species,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,,,,
Zotu138,Cortinarius cf. violaceus TRTC155606,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu141,Beauveria,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu143,Aspergillus,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu144,Leohumicola,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu146,Hypocreales,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu151,Pythiopsis,non-diet,,,,,,,,,Eukaryota,unknown,higher,,,,,,,
Zotu153,Bdelloidea,non-diet,Class,,Rotifera,Bdelloidea,,,,,,,,,,,,,,
Zotu155,Homo sapiens,non-diet,Species,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,,,,
Zotu156,Philodina,non-diet,,,,,,,,,Eukaryota,unknown,higher,,,,,,,
Zotu158,Agaricomycetes,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu16,Hypocreomycetidae,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu160,Leotiomycetes,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu163,Aspergillus,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu164,Homo sapiens,non-diet,Species,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,,,,,,,,,,
Zotu168,Penicillium sclerotiorum,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu169,Beauveria,non-diet,,,,,,,,,Opisthokonta,unknown,higher,,,,,,,
Zotu170,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu176,Torulaspora,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu178,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu181,Agaricomycetes,non-diet,,Fungi,,,,,,,,,,,,,,,,
Zotu182,Ascomycota,non-diet,Phylum,Fungi,Ascomycota,,,,,,,,,,,,,,,
Zotu187,Pleosporineae,non-diet,,Fungi,,,,,,,,,,,,,,,,
