"","ASV","ID_bold","Order_bold","ID_ncbi","Order_ncbi","ID_nondiet","Order_nondiet","taxonomy"
"1","ASV_1","Heteropoda venatoria","Araneae","Sparassidae","Araneae",NA,NA,"predator"
"2","ASV_2",NA,NA,NA,NA,"Tremellales","Tremellales","non-diet"
"3","ASV_3","Heteropoda venatoria","Araneae","Sparassidae","Araneae",NA,NA,"predator"
"4","ASV_4","Scholastes lonchifer","Diptera","Scholastes lonchifer","Diptera",NA,NA,"prey"
"5","ASV_5","Anisolabis maritima","Dermaptera","Anisolabis","Dermaptera",NA,NA,"prey"
"6","ASV_6",NA,NA,"Acrididae","Orthoptera",NA,NA,"prey"
"7","ASV_7",NA,NA,NA,NA,"Hypocreales","Hypocreales","non-diet"
"8","ASV_8","Heteropoda venatoria","Araneae","Sparassidae","Araneae",NA,NA,"predator"
"9","ASV_9",NA,NA,"Sparassidae","Araneae",NA,NA,"predator"
"10","ASV_10",NA,NA,NA,NA,"Dothideales","Dothideales","non-diet"
"11","ASV_11",NA,NA,NA,NA,"leotiomyceta","higher non-diet","non-diet"
"12","ASV_12","Hasarius adansoni","Araneae","Hasarius adansoni","Araneae",NA,NA,"prey"
"13","ASV_13","Heteropoda venatoria","Araneae","Sparassidae","Araneae",NA,NA,"predator"
"14","ASV_14",NA,NA,"Sparassidae","Araneae",NA,NA,"predator"
"15","ASV_15","Pycnoscelus","Blattodea","Blattodea","Blattodea",NA,NA,"prey"
"16","ASV_16",NA,NA,NA,NA,"Hortaea thailandica","Capnodiales","non-diet"
"17","ASV_17",NA,NA,NA,NA,"Hypocreomycetidae","higher non-diet","non-diet"
"18","ASV_18","Periplaneta australasiae","Blattodea","Periplaneta","Blattodea",NA,NA,"prey"
"19","ASV_19",NA,NA,"Acrididae","Orthoptera",NA,NA,"prey"
"20","ASV_20","Pycnoscelus surinamensis","Blattodea","Blattodea","Blattodea",NA,NA,"prey"
"21","ASV_21",NA,NA,"Ectobiidae","Blattodea",NA,NA,"prey"
"22","ASV_22","Heteropoda venatoria","Araneae","Sparassidae","Araneae",NA,NA,"predator"
"23","ASV_23",NA,NA,"Heteropoda venatoria","Araneae",NA,NA,"predator"
"24","ASV_24",NA,NA,"Neoptera","",NA,NA,"prey"
"25","ASV_25","Heteropoda venatoria","Araneae","Sparassidae","Araneae",NA,NA,"predator"
"26","ASV_26",NA,NA,"Neoptera","",NA,NA,"prey"
