	prey_ref_HEV-100_S22	prey_ref_HEV-101_S23	prey_ref_HEV-102_S1	prey_ref_HEV-103_S2	prey_ref_HEV-104_S3	prey_ref_HEV-105_S4	prey_ref_HEV-106_S5	prey_ref_HEV-107_S6	prey_ref_HEV-108_S7	prey_ref_HEV-109_S8	prey_ref_HEV-110_S9	prey_ref_HEV-111_S10	prey_ref_HEV-90_S12	prey_ref_HEV-91_S13	prey_ref_HEV-92_S14	prey_ref_HEV-93_S15	prey_ref_HEV-94_S16	prey_ref_HEV-95_S17	prey_ref_HEV-96_S18	prey_ref_HEV-97_S19	prey_ref_HEV-98_S20	prey_ref_HEV-99_S21	prey_ref_HEV07_S47	prey_ref_HEV10_S37	prey_ref_HEV11_S38	prey_ref_HEV12_S44	prey_ref_HEV13_S49	prey_ref_HEV14_S50	prey_ref_HEV15_S51	prey_ref_HEV16_S45	prey_ref_HEV17_S39	prey_ref_HEV18_S46	prey_ref_HEV20_S27	prey_ref_HEV21_S52	prey_ref_HEV22_S53	prey_ref_HEV23_S48	prey_ref_HEV24_S41	prey_ref_HEV25_S42	prey_ref_HEV26_S43	prey_ref_HEV27_S29	prey_ref_HEV29_S28	prey_ref_HEV65_S54	prey_ref_HEV66_S55	prey_ref_HEV67_S56	prey_ref_HEV68_S57	prey_ref_HEV70_S58	prey_ref_HEV71_S59	prey_ref_HEV74_S60	prey_ref_HEV76_S35	prey_ref_HEV79_S33	prey_ref_HEV81_S36	prey_ref_HEV82_S40	prey_ref_HEV83_S34	prey_ref_HEV87_S30	prey_ref_HEV88_S31	prey_ref_HEV89_S32
ASV_1	521	0	0	0	15577	0	0	0	45862	0	0	0	0	0	0	0	0	0	676	0	0	0	0	0	0	0	0	662	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	10426	28	0	322	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7430	0	0	0	0	0	121	0	0	0	0	0	0	0	158	0	152	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	0	0	32	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	571	132	11	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	4394	0
ASV_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2435	0
ASV_6	0	0	0	0	0	65	0	20	0	0	0	0	0	0	1701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	516	11	15	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	83	1	0	100	1	41	47	33	426	0	34	88	74	135	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
