#OTU ID	CL1	CL4	HEV07	HEV100	HEV101	HEV102	HEV103	HEV104	HEV105	HEV106	HEV107	HEV108	HEV109	HEV10	HEV110	HEV111	HEV11	HEV12	HEV13	HEV14	HEV16	HEV17	HEV18	HEV20	HEV21	HEV22	HEV23	HEV24	HEV25	HEV26	HEV27	HEV29	HEV65	HEV66	HEV67	HEV68	HEV70	HEV71	HEV74	HEV76	HEV79	HEV81	HEV82	HEV83	HEV87	HEV88	HEV89	HEV90	HEV91	HEV92	HEV93	HEV94	HEV95	HEV97	HEV98	HEV99	QC1
Zotu3	150243	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Zotu1	22	395675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
Zotu2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208213
Zotu41	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Zotu4	0	0	8	0	0	0	0	0	0	0	0	0	0	28	0	0	17	19	101	0	52	20	13	27	179	0	3	0	0	27	117	5	34	67	232	2	0	23	20	43	72	7	1	147	0	4	447	0	0	0	0	0	0	0	0	0	0
Zotu6	0	0	1	0	0	0	0	0	187	0	0	0	141	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	29	1	11	0	25	0
Zotu26	0	0	0	1	1	0	0	0	0	12	5	0	98	0	0	6	0	4	5	6	0	9	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	14	0	2	0
Zotu12	0	0	0	0	9	0	2	2	0	0	36	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	237	0	0	2	0	0	0	1	0	2	1	0	2	1	0	5	0	0	0	0	6	0	0	0	0	4	2	0	0
Zotu23	0	0	0	0	68	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu37	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu71	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu61	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	13	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu15	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	358	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	37	1	0	0
Zotu76	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0
Zotu25	0	0	0	0	1	0	0	0	0	0	0	0	41	0	0	0	0	62	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	1	0	5	0	7	0
Zotu38	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu74	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
