#OTU ID	HEV07	HEV100	HEV101	HEV102	HEV103	HEV104	HEV105	HEV106	HEV107	HEV108	HEV109	HEV10	HEV110	HEV111	HEV11	HEV12	HEV13	HEV14	HEV15	HEV16	HEV17	HEV18	HEV20	HEV21	HEV22	HEV23	HEV24	HEV25	HEV26	HEV27	HEV29	HEV65	HEV66	HEV67	HEV68	HEV70	HEV71	HEV74	HEV76	HEV79	HEV81	HEV82	HEV83	HEV87	HEV88	HEV89	HEV90	HEV91	HEV92	HEV93	HEV94	HEV95	HEV96	HEV97	HEV98	HEV99
Zotu3	8544	0	0	0	0	0	0	0	0	0	0	150	0	0	0	88	2	0	385	1	42	54	38	702	1	38	275	84	311	0	28	0	1	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0
Zotu98	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
Zotu1	0	659	3	1	1	21196	0	2	1	54115	1	0	2	2	0	0	0	915	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	793	1	3	1
Zotu13	0	9	213	2	6	8	0	0	1	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	58	0	0	0	0	0	0	0	0	543	0	422	0
Zotu78	0	2	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu33	0	1	0	0	0	0	0	0	130	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu2	0	6	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	1	0	13441	26	1	333	1044	2	0	0
Zotu15	0	0	5	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	7	0
Zotu50	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	22	0	2	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	17	0	0	0	0	0	11	0	2
Zotu12	0	0	8	0	0	0	0	0	0	0	0	0	0	76	0	515	20	38	0	0	263	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	13	0	0	0	36	0	0	1	0	0	13	0	7
