#OTU ID	CL1	CL4	HEV15S51	HEV16S45	HEV17S39	HEV18S46	HEV20S27	HEV87S30	HEV88S31	HEV90S12	HEV91S13	HEV92S14	HEV93S15	HEV94S16	HEV95S17	HEV96S18	HEV97S19	HEV100S22	HEV101S23	HEV102S1	HEV103S2	HEV104S3	HEV105S4	HEV106S5	HEV107S6	HEV21S52	HEV22S53	HEV23S48	HEV24S41	HEV25S42	HEV67S56	HEV68S57	HEV70S58	HEV71S59	HEV74S60	HEV89S32	HEV98S20	HEV99S21	HEV07S47	NEGS11	HEV108S7	HEV109S8	HEV10S37	HEV110S9	HEV111S10	HEV11S38	HEV12S44	HEV13S49	HEV14S50	HEV26S43	HEV27S29	HEV29S28	HEV65S54	HEV66S55	HEV76S35	HEV79S33	HEV81S36	HEV82S40	HEV83S34	QC1S26
Zotu4	150243	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Zotu2	22	395675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
Zotu3	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208213
Zotu148	0	0	97753	67214	62192	65555	70021	32279	77180	149698	87763	51228	129235	176053	135522	161509	148613	141509	158166	140291	163318	101957	106722	139107	119295	81886	69815	64396	50515	50920	11278	11805	35128	39933	69358	51973	128083	170535	55075	0	111203	133230	35396	133990	154393	66587	62890	37389	35286	87154	45698	58397	55520	35873	49087	54157	36053	33341	53796	0
Zotu1	0	0	49389	30640	32219	30360	33816	16678	43198	53053	121258	31300	63229	79510	68224	75261	73361	55899	81558	61414	56591	50474	50798	70922	62959	35736	29553	20198	26446	23112	4229	7462	19718	23604	37648	30327	65274	83309	24502	1	44830	70202	19581	63388	81908	37057	24968	19884	17199	44733	24980	23215	25926	20556	23772	29440	17174	13956	31116	0
Zotu7	0	0	385	1	42	54	38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702	1	38	275	84	0	0	0	0	1	2	0	0	8544	0	0	0	150	0	0	0	88	2	0	311	0	28	0	1	0	0	0	1	0	0
Zotu84	0	0	275	131	154	154	188	89	204	228	255	132	295	353	306	414	294	225	367	263	243	259	249	332	266	133	120	92	129	108	16	26	80	116	145	116	318	385	123	0	246	350	81	309	399	140	130	117	65	210	102	99	109	83	104	133	83	61	142	0
Zotu36	0	0	155	0	1	0	0	0	9	0	82	0	0	0	0	15	0	0	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Zotu46	0	0	52	23	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	13	3	91	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	31	1	1	2	4	0	4	1	0	0
Zotu30	0	0	4	2	6	2	0	2	6	1	4	3	3	4	4	3	10	5	6	1	4	2	0	6	8	1	4	1	1	0	0	0	3	1	0	0	3	8	1	0	1	3	5	2	122	1	0	1	1	3	3	2	2	1	3	0	1	1	5	0
