"","HEV65","HEV66","HEV67","HEV68","HEV70","HEV71","HEV74","HEV76","HEV79","HEV81","HEV82","HEV83","HEV87","HEV88","HEV89","HEV101","HEV102","HEV103","HEV104","HEV105","HEV106","HEV107","HEV108","HEV109","HEV110","HEV111","HEV90","HEV91","HEV92","HEV93","HEV94","HEV95","HEV96","HEV97","HEV98","HEV99","HEV100"
"Zotu4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu148",55520,35873,11278,11805,35128,39933,69358,49087,54157,36053,33341,53796,32279,77180,51973,158166,140291,163318,101957,106722,139107,119295,111203,133230,133990,154393,149698,87763,51228,129235,176053,135522,161509,148613,128083,170535,141509
"Zotu1",25926,20556,4229,7462,19718,23604,37648,23772,29440,17174,13956,31116,16678,43198,30327,81558,61414,56591,50474,50798,70922,62959,44830,70202,63388,81908,53053,121258,31300,63229,79510,68224,75261,73361,65274,83309,55899
"Zotu7",0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu84",109,83,16,26,80,116,145,104,133,83,61,142,89,204,116,367,263,243,259,249,332,266,246,350,309,399,228,255,132,295,353,306,414,294,318,385,225
"Zotu36",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,15,0,0,0,0
"Zotu46",1,2,6,1,0,0,1,4,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu30",2,1,0,0,3,1,0,3,0,1,1,5,2,6,0,6,1,4,2,0,6,8,1,3,2,122,1,4,3,3,4,4,3,10,3,8,5
"Zotu111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu39",1,0,0,0,0,0,1,1,0,1,0,0,0,5,1,1,1,0,7,2,8,6,1,25,4,6,1,36,0,1,15,7,0,2,15,6,1
"Zotu48",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"Zotu29",32,187,0,0,0,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu63",0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu19",34,67,232,2,0,23,20,43,72,7,1,147,0,4,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu9",0,0,0,0,0,0,0,8,0,5,0,25,1,10,0,104,5,7,36,2,27,21,5,280,63,310,6,73,0,4,15,12,3,133,154,8,2
"Zotu14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813,0,0,0,0,0,0,0,0
"Zotu10",0,0,0,0,0,0,0,4,0,1,1,0,43,18,0,1,5,83,0,8,2,0,1,0,1,418,0,0,0,0,2,0,0,322,1,0,0
"Zotu15",0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,1,12,4,14,0,9,0,0,0,361,2,2,0,0,0,0,0,171,0,14,0
"Zotu21",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Zotu18",0,1,0,0,0,0,0,0,0,0,0,11,13,0,0,9,0,0,0,0,0,0,0,0,0,76,0,36,0,0,1,0,0,14,0,7,0
"Zotu32",0,0,0,0,0,0,0,0,0,2,1,15,0,1,0,24,0,0,3,2,7,2,0,44,5,54,3,31,0,3,7,4,2,40,25,4,0
"Zotu92",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0
"Zotu59",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0,0
"Zotu166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"Zotu8",0,0,0,0,0,0,0,0,0,0,0,0,0,4590,0,0,34,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"Zotu86",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,5,0,98,0,6,0,1,0,0,4,0,0,14,0,2,1
"Zotu33",0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,187,0,0,0,141,0,0,0,0,0,0,29,1,0,11,0,25,0
"Zotu80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,32,0,0,1,0,0,5,0,7,0
"Zotu53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,37,1,0,0
"Zotu17",0,0,0,0,0,0,0,0,0,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu5",0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,3,1,1,21196,0,2,1,54115,1,2,2,0,1,0,0,1,2,793,1,3,1,659
