"","sample","reads","Method","Island","Year","ID","Date.Collected","Size","Extract..Date","Sterilized","Source"
"1","HEV07",5391,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",15.5,"3/14/18","SS","LAB"
"2","HEV10",147,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",16.9,"3/14/18","SS","LAB"
"3","HEV11",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",17.6,"3/14/18","SS","LAB"
"4","HEV12",50,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",17.8,"3/14/18","SS","LAB"
"5","HEV13",2,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",18.6,"3/14/18","SS","LAB"
"6","HEV14",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",18.8,"3/14/18","SS","LAB"
"7","HEV15",122,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",20.2,"3/14/18","NS","LAB"
"8","HEV16",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",20.9,"3/14/18","SS","LAB"
"9","HEV17",25,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",21,"3/14/18","NS","LAB"
"10","HEV18",37,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",21.1,"3/14/18","NS","LAB"
"11","HEV20",23,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",21.4,"3/14/18","NS","LAB"
"12","HEV21",327,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",22.1,"3/14/18","NS","LAB"
"13","HEV22",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",22.6,"3/14/18","NS","LAB"
"14","HEV23",26,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.3,"3/14/18","NS","LAB"
"15","HEV24",179,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.3,"3/14/18","NS","LAB"
"16","HEV25",68,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",24.6,"3/14/18","NS","LAB"
"17","HEV26",122,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",24.7,"3/14/18","NS","LAB"
"18","HEV27",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",25.4,"3/14/18","SS","LAB"
"19","HEV29",20,"Hand","Cooper",2017,"Heteropoda venatoria","8/14/17",27.5,"3/14/18","NS","LAB"
