Zotu4,Zotu2,Zotu3,Zotu148,Zotu1,Zotu7,Zotu84,Zotu36,Zotu46,Zotu30,Zotu111,Zotu39,Zotu48,Zotu29,Zotu63,Zotu19,Zotu82,Zotu65,Zotu9,Zotu14,Zotu10,Zotu15,Zotu21,Zotu18,Zotu32,Zotu92,Zotu97,Zotu132,Zotu59,Zotu166,Zotu8,Zotu86,Zotu33,Zotu80,Zotu53,Zotu17,Zotu5,Zotu103,Zotu134,Zotu94,Zotu120,Zotu129,Zotu43,Zotu60,Zotu168,Zotu25,Zotu155,Zotu47,Zotu28,Zotu12,Zotu76,Zotu156,Zotu192,Zotu105,Zotu153,Zotu113,Zotu184,Zotu75,Zotu131,Zotu116,Zotu37,Zotu77,Zotu121,Zotu181,Zotu6,Zotu119,Zotu83,Zotu123,Zotu167,Zotu24,Zotu44,Zotu140,Zotu13,Zotu191,Zotu20,Zotu41,Zotu31,Zotu56,Zotu34,Zotu138,Zotu182,Zotu194,Zotu159,Zotu127,Zotu157,Zotu95,Zotu147,Zotu107,Zotu160,Zotu152,Zotu98,Zotu122,Zotu52,Zotu89,Zotu130,Zotu70,Zotu108,Zotu186,Zotu141,Zotu110,Zotu163,Zotu188,Zotu87,Zotu178,Zotu81,Zotu126,Zotu142,Zotu158,Zotu177,Zotu185,Zotu106,Zotu55,Zotu162,Zotu73,Zotu125,Zotu128,Zotu150,Zotu179,Zotu169,Zotu16,Zotu139,Zotu170,Zotu187,Zotu40,Zotu57,Zotu22,Zotu115,Zotu189,Zotu11,Zotu151,Zotu101,Zotu195,Zotu61,Zotu68,Zotu104,Zotu171,Zotu144,Zotu102,Zotu62,Zotu196,Zotu135,Zotu45,Zotu66,Zotu67,Zotu136,Zotu38,Zotu175,Zotu183,Zotu137,Zotu124,Zotu193,Zotu118,Zotu58,Zotu26,Zotu85,Zotu100,Zotu176,Zotu35,Zotu23,Zotu71,Zotu72,Zotu164,Zotu93,Zotu112,Zotu90,Zotu96,Zotu146,Zotu114,Zotu117,Zotu99,Zotu174,Zotu49,Zotu78,Zotu165,Zotu145,Zotu154,sample,Method,Island,Year,ID,Date.Collected,dada2_sample,unoise_sample,Size,Extract..Date,Sterilized,Source
0,0,0,32279,16678,1,89,0,0,2,0,0,0,0,0,0,0,0,1,0,43,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,130,17,58,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV87,Hand,Leslie 8,2016,Heteropoda venatoria,,HEV87_S30,HEV87,16.3,10/23/18,NS,FIELD
0,0,0,77180,43198,0,204,9,2,6,0,5,0,0,0,4,0,0,10,0,18,23,0,0,1,0,0,0,0,0,4590,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2606,77,18,16,78,25,7,3,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV88,Hand,Leslie 4,2016,Heteropoda venatoria,,HEV88_S31,HEV88,20.1,10/23/18,NS,FIELD
0,0,0,149698,53053,0,228,0,0,1,0,1,0,0,0,0,0,0,6,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,210,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV90,Hand,East 1,2015,Heteropoda venatoria,,HEV.90_S12,HEV90,14.1,10/28/19,SS,FIELD
0,0,0,87763,121258,0,255,82,0,4,0,36,0,0,0,0,0,0,73,0,0,2,0,36,31,0,0,0,0,1,9,1,0,32,3,0,1,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,29,66,26,18,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV91,Hand,East 2,2015,Heteropoda venatoria,,HEV.91_S13,HEV91,17.5,10/28/19,SS,FIELD
0,0,0,51228,31300,0,132,0,0,3,0,0,0,0,0,0,0,0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13441,0,0,0,0,0,0,0,2115,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV92,Hand,East 3,2015,Heteropoda venatoria,,HEV.92_S14,HEV92,20.5,10/28/19,SS,FIELD
0,0,0,129235,63229,0,295,0,0,3,0,1,23,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,26,0,0,0,0,0,0,24,0,0,0,215,306,133,265,51,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV93,Hand,East 4,2015,Heteropoda venatoria,,HEV.93_S15,HEV93,10.2,10/28/19,SS,FIELD
0,0,0,176053,79510,0,353,0,0,4,0,15,0,0,0,0,0,0,15,0,2,0,0,1,7,0,0,0,0,0,0,4,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,75,18,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,18,21,15,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV94,Hand,East 5,2015,Heteropoda venatoria,,HEV.94_S16,HEV94,14.5,10/28/19,SS,FIELD
0,0,0,135522,68224,0,306,0,0,4,0,7,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0,0,0,31,17,66,46,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV95,Hand,East 6,2015,Heteropoda venatoria,,HEV.95_S17,HEV95,13.4,10/28/19,NS,FIELD
0,0,0,161509,75261,0,414,15,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,793,0,0,0,0,0,0,0,0,543,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,15,5,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV96,Hand,East 7,2015,Heteropoda venatoria,,HEV.96_S18,HEV96,15.9,10/28/19,NS,FIELD
0,0,0,148613,73361,0,294,0,0,10,0,2,0,0,0,0,0,0,133,0,322,171,0,14,40,0,0,1,1,0,0,14,11,5,37,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,6,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV97,Hand,East 8,2015,Heteropoda venatoria,,HEV.97_S19,HEV97,14.5,10/28/19,NS,FIELD
