"","unique_ID","Sterilized","reads","presence"
"1","Acrididae","NS",0,0
"2","Acrididae","SS",0.0277777777777778,1
"3","Anchiphiloscia pilosa","NS",0.0526315789473684,1
"4","Anchiphiloscia pilosa","SS",0.0277777777777778,1
"5","Anisolabis maritima","NS",4.65789473684211,1
"6","Anisolabis maritima","SS",99.3611111111111,1
"7","Blattodea","NS",0.289473684210526,1
"8","Blattodea","SS",5.11111111111111,1
"9","Buthus mariefranceae","NS",0.157894736842105,1
"10","Buthus mariefranceae","SS",0,0
"11","Cytaea sinuata","NS",0.0526315789473684,1
"12","Cytaea sinuata","SS",0,0
"13","Ectobiidae","NS",0.763157894736842,1
"14","Ectobiidae","SS",5.94444444444444,1
"15","Hasarius adansoni","NS",3.71052631578947,1
"16","Hasarius adansoni","SS",16.5277777777778,1
"17","Hemiptera","NS",0,0
"18","Hemiptera","SS",0.0555555555555556,1
"19","Isometrus maculatus","NS",0.684210526315789,1
"20","Isometrus maculatus","SS",0.277777777777778,1
"21","Limonia perkinsi","NS",0,0
"22","Limonia perkinsi","SS",0.25,1
"23","Linepithema humile","NS",0.157894736842105,1
"24","Linepithema humile","SS",0,0
"25","Littorophiloscia bifasciata","NS",0,0
"26","Littorophiloscia bifasciata","SS",0.0555555555555556,1
"27","Nematocera","NS",0.473684210526316,1
"28","Nematocera","SS",0,0
"29","Neoptera","NS",6.07894736842105,1
"30","Neoptera","SS",2.13888888888889,1
"31","Ornebius novarae","NS",0.236842105263158,1
"32","Ornebius novarae","SS",0.861111111111111,1
"33","Orthocladiinae","NS",0.105263157894737,1
"34","Orthocladiinae","SS",0,0
"35","Pantala flavescens","NS",0,0
"36","Pantala flavescens","SS",0.222222222222222,1
"37","Periplaneta australasiae","NS",5.07894736842105,1
"38","Periplaneta australasiae","SS",9.88888888888889,1
"39","Phisis holdhausi","NS",0.447368421052632,1
"40","Phisis holdhausi","SS",0.916666666666667,1
"41","Pholcus guadarfia","NS",0,0
"42","Pholcus guadarfia","SS",0.166666666666667,1
"43","Pycnoscelus","NS",0,0
"44","Pycnoscelus","SS",13.3611111111111,1
"45","Pycnoscelus surinamensis","NS",12.7368421052632,1
"46","Pycnoscelus surinamensis","SS",0,0
"47","Scholastes lonchifer","NS",181.052631578947,1
"48","Scholastes lonchifer","SS",85.8055555555556,1
"49","Suidasia","NS",0,0
"50","Suidasia","SS",0.388888888888889,1
"51","Tygarrup javanicus","NS",1.42105263157895,1
"52","Tygarrup javanicus","SS",0.444444444444444,1
"53","Xiphydria","NS",0.315789473684211,1
"54","Xiphydria","SS",0,0
