"","HEV07","HEV10","HEV11","HEV12","HEV13","HEV14","HEV15","HEV16","HEV17","HEV18","HEV20","HEV21","HEV22","HEV23","HEV24","HEV25","HEV26","HEV27","HEV29"
"Zotu4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu148",55075,35396,66587,62890,37389,35286,97753,67214,62192,65555,70021,81886,69815,64396,50515,50920,87154,45698,58397
"Zotu1",24502,19581,37057,24968,19884,17199,49389,30640,32219,30360,33816,35736,29553,20198,26446,23112,44733,24980,23215
"Zotu7",8544,150,0,88,2,0,385,1,42,54,38,702,1,38,275,84,311,0,28
"Zotu84",123,81,140,130,117,65,275,131,154,154,188,133,120,92,129,108,210,102,99
"Zotu36",0,0,0,0,0,0,155,0,1,0,0,4,0,0,0,12,0,0,3
"Zotu46",0,0,0,0,16,0,52,23,9,0,0,47,13,3,91,0,0,31,1
"Zotu30",1,5,1,0,1,1,4,2,6,2,0,1,4,1,1,0,3,3,2
"Zotu111",0,0,0,0,0,0,2,0,0,35,0,1,0,0,15,0,0,0,0
"Zotu39",3,2,0,203,2,9,1,1,33,1,0,3,1,0,0,0,3,1,2
"Zotu48",0,0,3,0,19,35,0,62,8,0,0,0,0,0,0,0,0,172,3
"Zotu29",0,0,0,0,11,9,0,219,2,0,76,0,0,0,74,0,0,103,0
"Zotu63",0,0,0,0,0,30,0,44,0,0,0,99,17,0,0,0,5,0,0
"Zotu19",8,28,17,19,101,0,0,52,20,13,27,179,0,3,0,0,27,117,5
"Zotu82",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,63
"Zotu65",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,111,0,0
"Zotu9",64,200,28,2141,52,243,0,2,1016,2,0,47,105,7,4,2,34,3,5
"Zotu14",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Zotu10",77,212,0,0,585,861,0,0,1890,2,1,0,267,0,0,1,180,0,39
"Zotu15",1,81,0,0,0,333,0,0,1167,0,0,1,140,1,1,1,0,0,0
"Zotu21",0,2,0,0,0,2,0,0,3,0,0,0,1,1,0,0,1,0,0
"Zotu18",0,0,0,515,20,38,0,0,265,0,0,0,0,0,0,0,0,0,0
"Zotu32",1,5,0,160,3,9,0,0,64,0,0,1,6,4,0,1,3,0,3
"Zotu92",0,0,19,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
"Zotu97",0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
"Zotu132",0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
"Zotu59",0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"Zotu166",0,0,0,0,13,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"Zotu8",0,0,0,0,0,0,0,0,6,5,0,0,0,0,1305,675,25,16,72
"Zotu86",0,0,0,4,5,6,0,0,9,0,0,0,0,0,0,0,0,0,61
"Zotu33",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Zotu80",0,0,0,62,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Zotu53",0,0,0,358,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0
"Zotu17",0,0,0,0,0,0,0,0,0,98,193,0,0,0,0,0,0,64,0
"Zotu5",0,0,0,0,0,915,0,0,0,70,0,0,0,0,0,0,0,0,0
"Zotu103",0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
"Zotu134",0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
"Zotu94",0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
"Zotu120",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
"Zotu129",0,0,0,7,0,9,0,0,0,1,0,4,0,0,0,1,0,16,0
"Zotu43",0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0
"Zotu60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu155",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu47",0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,1,0
"Zotu28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"Zotu184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu131",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu181",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Zotu6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Zotu119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu24",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu44",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,237,0,0,2
"Zotu140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu194",0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Zotu159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu55",0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0
"Zotu162",0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"Zotu73",0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,4
"Zotu125",0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
"Zotu128",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,27
"Zotu150",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"Zotu179",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Zotu169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"Zotu16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
"Zotu139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
"Zotu170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
"Zotu187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,9
"Zotu40",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Zotu57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu189",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"Zotu151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu195",0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu136",0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu35",0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu23",0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu71",0,0,0,35,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu72",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
"Zotu164",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu93",0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu112",0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
"Zotu96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"Zotu146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
