Zotu4,Zotu2,Zotu3,Zotu148,Zotu1,Zotu7,Zotu84,Zotu36,Zotu46,Zotu30,Zotu111,Zotu39,Zotu48,Zotu29,Zotu63,Zotu19,Zotu82,Zotu65,Zotu9,Zotu14,Zotu10,Zotu15,Zotu21,Zotu18,Zotu32,Zotu92,Zotu97,Zotu132,Zotu59,Zotu166,Zotu8,Zotu86,Zotu33,Zotu80,Zotu53,Zotu17,Zotu5,Zotu103,Zotu134,Zotu94,Zotu120,Zotu129,Zotu43,Zotu60,Zotu168,Zotu25,Zotu155,Zotu47,Zotu28,Zotu12,Zotu76,Zotu156,Zotu192,Zotu105,Zotu153,Zotu113,Zotu184,Zotu75,Zotu131,Zotu116,Zotu37,Zotu77,Zotu121,Zotu181,Zotu6,Zotu119,Zotu83,Zotu123,Zotu167,Zotu24,Zotu44,Zotu140,Zotu13,Zotu191,Zotu20,Zotu41,Zotu31,Zotu56,Zotu34,Zotu138,Zotu182,Zotu194,Zotu159,Zotu127,Zotu157,Zotu95,Zotu147,Zotu107,Zotu160,Zotu152,Zotu98,Zotu122,Zotu52,Zotu89,Zotu130,Zotu70,Zotu108,Zotu186,Zotu141,Zotu110,Zotu163,Zotu188,Zotu87,Zotu178,Zotu81,Zotu126,Zotu142,Zotu158,Zotu177,Zotu185,Zotu106,Zotu55,Zotu162,Zotu73,Zotu125,Zotu128,Zotu150,Zotu179,Zotu169,Zotu16,Zotu139,Zotu170,Zotu187,Zotu40,Zotu57,Zotu22,Zotu115,Zotu189,Zotu11,Zotu151,Zotu101,Zotu195,Zotu61,Zotu68,Zotu104,Zotu171,Zotu144,Zotu102,Zotu62,Zotu196,Zotu135,Zotu45,Zotu66,Zotu67,Zotu136,Zotu38,Zotu175,Zotu183,Zotu137,Zotu124,Zotu193,Zotu118,Zotu58,Zotu26,Zotu85,Zotu100,Zotu176,Zotu35,Zotu23,Zotu71,Zotu72,Zotu164,Zotu93,Zotu112,Zotu90,Zotu96,Zotu146,Zotu114,Zotu117,Zotu99,Zotu174,Zotu49,Zotu78,Zotu165,Zotu145,Zotu154,sample,Method,Island,Year,ID,Date.Collected,dada2_sample,unoise_sample,Size,Extract..Date,Sterilized,Source
0,0,0,97753,49389,385,275,155,52,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV15,Hand,Cooper,2017,Heteropoda venatoria,8/19/17,HEV15_S51,HEV15,20.2,3/14/18,NS,LAB
0,0,0,67214,30640,1,131,0,23,2,0,1,62,219,44,52,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV16,Hand,Cooper,2017,Heteropoda venatoria,8/7/17,HEV16_S45,HEV16,20.9,3/14/18,SS,LAB
0,0,0,62192,32219,42,154,1,9,6,0,33,8,2,0,20,0,0,1016,0,1890,1167,3,265,64,49,50,24,2,12,6,9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV17,Hand,Cooper,2017,Heteropoda venatoria,8/7/17,HEV17_S39,HEV17,21,3/14/18,NS,LAB
0,0,0,65555,30360,54,154,0,0,2,35,1,0,0,0,13,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,98,70,36,34,52,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV18,Hand,Cooper,2017,Heteropoda venatoria,8/19/17,HEV18_S46,HEV18,21.1,3/14/18,NS,LAB
0,0,0,70021,33816,38,188,0,0,0,0,0,0,76,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV20,Hand,Cooper,2017,Heteropoda venatoria,8/16/17,HEV20_S27,HEV20,21.4,3/14/18,NS,LAB
0,0,0,81886,35736,702,133,4,47,1,1,3,0,0,99,179,0,0,47,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV21,Hand,Cooper,2017,Heteropoda venatoria,8/19/17,HEV21_S52,HEV21,22.1,3/14/18,NS,LAB
0,0,0,69815,29553,1,120,0,13,4,0,1,0,0,17,0,0,0,105,0,267,140,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV22,Hand,Cooper,2017,Heteropoda venatoria,8/2/17,HEV22_S53,HEV22,22.6,3/14/18,NS,LAB
0,0,0,64396,20198,38,92,0,3,1,0,0,0,0,0,3,0,0,7,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV23,Hand,Cooper,2017,Heteropoda venatoria,8/14/17,HEV23_S48,HEV23,24.3,3/14/18,NS,LAB
0,0,0,50515,26446,275,129,0,91,1,15,0,0,74,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV24,Hand,Cooper,2017,Heteropoda venatoria,8/16/17,HEV24_S41,HEV24,24.3,3/14/18,NS,LAB
0,0,0,50920,23112,84,108,12,0,0,0,0,0,0,0,0,15,0,2,0,1,1,0,0,1,0,0,0,0,0,675,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,26,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEV25,Hand,Cooper,2017,Heteropoda venatoria,8/14/17,HEV25_S42,HEV25,24.6,3/14/18,NS,LAB
