"","sample","reads","Method","Island","Year","ID","Date.Collected","Size","Extract..Date","Sterilized","Source"
"1","HEV65",15979,"Hand","Fern 5",2016,"Heteropoda venatoria","",22.6,"10/23/18","SS","FIELD"
"2","HEV66",15887,"Hand","Fern 4",2016,"Heteropoda venatoria","",17.2,"10/23/18","SS","FIELD"
"3","HEV67",15523,"Hand","Fern 10",2016,"Heteropoda venatoria","",19.1,"10/23/18","SS","FIELD"
"4","HEV68",16001,"Hand","Fern 7",2016,"Heteropoda venatoria","",13.2,"10/23/18","SS","FIELD"
"5","HEV70",15969,"Hand","Fern 8",2016,"Heteropoda venatoria","",17.7,"10/23/18","SS","FIELD"
"6","HEV71",15670,"Hand","Leslie 3",2016,"Heteropoda venatoria","",21.2,"10/23/18","SS","FIELD"
"7","HEV74",15991,"Hand","Leslie 11",2016,"Heteropoda venatoria","",19.5,"10/23/18","SS","FIELD"
"8","HEV76",15834,"Hand","Leslie 13",2016,"Heteropoda venatoria","",16.2,"10/23/18","SS","FIELD"
"9","HEV79",15919,"Hand","Fern 6",2016,"Heteropoda venatoria","",18.4,"10/23/18","NS","FIELD"
"10","HEV81",15604,"Hand","Leslie 6",2016,"Heteropoda venatoria","",16,"10/23/18","NS","FIELD"
"11","HEV82",16002,"Hand","Leslie 5",2016,"Heteropoda venatoria","",15.6,"10/23/18","NS","FIELD"
"12","HEV83",15852,"Hand","Leslie 2",2016,"Heteropoda venatoria","",21.3,"10/23/18","NS","FIELD"
"13","HEV87",15931,"Hand","Leslie 8",2016,"Heteropoda venatoria","",16.3,"10/23/18","NS","FIELD"
"14","HEV88",15036,"Hand","Leslie 4",2016,"Heteropoda venatoria","",20.1,"10/23/18","NS","FIELD"
"15","HEV89",15921,"Hand","Leslie 1",2016,"Heteropoda venatoria","",23.8,"10/23/18","NS","FIELD"
"16","HEV101",15980,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"17","HEV102",15995,"Hand","Holei 2",2015,"Heteropoda venatoria","",12.2,"10/28/19","SS","FIELD"
"18","HEV103",15997,"Hand","Holei 3",2015,"Heteropoda venatoria","",13.5,"10/28/19","SS","FIELD"
"19","HEV104",14042,"Hand","Holei 4",2015,"Heteropoda venatoria","",13.2,"10/28/19","SS","FIELD"
"20","HEV105",15839,"Hand","Holei 5",2015,"Heteropoda venatoria","",13.4,"10/28/19","SS","FIELD"
"21","HEV106",15995,"Hand","Holei 6",2015,"Heteropoda venatoria","",15,"10/28/19","NS","FIELD"
"22","HEV107",15979,"Hand","Holei 7",2015,"Heteropoda venatoria","",11.4,"10/28/19","NS","FIELD"
"23","HEV108",11883,"Hand","Holei 8",2015,"Heteropoda venatoria","",11.5,"10/28/19","NS","FIELD"
"24","HEV109",15878,"Hand","Holei 9",2015,"Heteropoda venatoria","",12.8,"10/28/19","NS","FIELD"
"25","HEV110",15946,"Hand","Holei 10",2015,"Heteropoda venatoria","",9.8,"10/28/19","NS","FIELD"
"26","HEV111",15975,"Hand","Holei 11",2015,"Heteropoda venatoria","",7.4,"10/28/19","NS","FIELD"
"27","HEV90",15983,"Hand","East 1",2015,"Heteropoda venatoria","",14.1,"10/28/19","SS","FIELD"
"28","HEV91",15973,"Hand","East 2",2015,"Heteropoda venatoria","",17.5,"10/28/19","SS","FIELD"
"29","HEV92",13195,"Hand","East 3",2015,"Heteropoda venatoria","",20.5,"10/28/19","SS","FIELD"
"30","HEV93",15912,"Hand","East 4",2015,"Heteropoda venatoria","",10.2,"10/28/19","SS","FIELD"
"31","HEV94",15989,"Hand","East 5",2015,"Heteropoda venatoria","",14.5,"10/28/19","SS","FIELD"
"32","HEV95",15951,"Hand","East 6",2015,"Heteropoda venatoria","",13.4,"10/28/19","NS","FIELD"
"33","HEV96",15803,"Hand","East 7",2015,"Heteropoda venatoria","",15.9,"10/28/19","NS","FIELD"
"34","HEV97",15990,"Hand","East 8",2015,"Heteropoda venatoria","",14.5,"10/28/19","NS","FIELD"
"35","HEV98",15819,"Hand","East 9",2015,"Heteropoda venatoria","",22.2,"10/28/19","NS","FIELD"
"36","HEV99",16000,"Hand","East 10",2015,"Heteropoda venatoria","",20.1,"10/28/19","NS","FIELD"
"37","HEV100",15956,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
