"","sample","Family_ncbi","Order_ncbi","reads","Method","Island","Year","ID","Date.Collected","Size","Extract..Date","Sterilized","Source"
"1","HEV100","Acrididae","Orthoptera",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"2","HEV100","Anisolabididae","Dermaptera",1,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"3","HEV100","Blaberidae","Blattodea",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"4","HEV100","Blattidae","Blattodea",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"5","HEV100","Bombyliidae","Diptera",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"6","HEV100","Buthidae","Scorpiones",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"7","HEV100","Chironomidae","Diptera",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"8","HEV100","Culicidae","Diptera",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"9","HEV100","Ectobiidae","Blattodea",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"10","HEV100","Libellulidae","Odonata",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"11","HEV100","Limoniidae","Diptera",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"12","HEV100","Mecistocephalidae","Geophilomorpha",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"13","HEV100","Mogoplistidae","Orthoptera",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"14","HEV100","Neptuculidae","Lepidoptera",1,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"15","HEV100","Oecophoridae","Lepidoptera",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"16","HEV100","Pholcidae","Araneae",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"17","HEV100","Platystomatidae","Diptera",46,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"18","HEV100","Salticidae","Araneae",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"19","HEV100","Tettigoniidae","Orthoptera",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"20","HEV100","Xiphydriidae","Hymenoptera",0,"Hand","East 11",2015,"Heteropoda venatoria","",16.7,"10/28/19","NS","FIELD"
"21","HEV101","Acrididae","Orthoptera",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"22","HEV101","Anisolabididae","Dermaptera",1,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"23","HEV101","Blaberidae","Blattodea",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"24","HEV101","Blattidae","Blattodea",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"25","HEV101","Bombyliidae","Diptera",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"26","HEV101","Buthidae","Scorpiones",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"27","HEV101","Chironomidae","Diptera",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"28","HEV101","Culicidae","Diptera",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"29","HEV101","Ectobiidae","Blattodea",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"30","HEV101","Libellulidae","Odonata",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"31","HEV101","Limoniidae","Diptera",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"32","HEV101","Mecistocephalidae","Geophilomorpha",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"33","HEV101","Mogoplistidae","Orthoptera",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"34","HEV101","Neptuculidae","Lepidoptera",14,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"35","HEV101","Oecophoridae","Lepidoptera",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"36","HEV101","Pholcidae","Araneae",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"37","HEV101","Platystomatidae","Diptera",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"38","HEV101","Salticidae","Araneae",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"39","HEV101","Tettigoniidae","Orthoptera",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"40","HEV101","Xiphydriidae","Hymenoptera",0,"Hand","Holei 1",2015,"Heteropoda venatoria","",16.7,"10/28/19","SS","FIELD"
"41","HEV102","Acrididae","Orthoptera",0,"Hand","Holei 2",2015,"Heteropoda venatoria","",12.2,"10/28/19","SS","FIELD"
"42","HEV102","Anisolabididae","Dermaptera",0,"Hand","Holei 2",2015,"Heteropoda venatoria","",12.2,"10/28/19","SS","FIELD"
"43","HEV102","Blaberidae","Blattodea",0,"Hand","Holei 2",2015,"Heteropoda venatoria","",12.2,"10/28/19","SS","FIELD"
