"","sample","Family_ncbi","Order_ncbi","reads","Method","Island","Year","ID","Date.Collected","Size","Extract..Date","Sterilized","Source"
"1","HEV07","Acrididae","Orthoptera",5391,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",15.5,"3/14/18","SS","LAB"
"2","HEV07","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",15.5,"3/14/18","SS","LAB"
"3","HEV07","Blaberidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",15.5,"3/14/18","SS","LAB"
"4","HEV07","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",15.5,"3/14/18","SS","LAB"
"5","HEV07","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",15.5,"3/14/18","SS","LAB"
"6","HEV07","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",15.5,"3/14/18","SS","LAB"
"7","HEV07","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",15.5,"3/14/18","SS","LAB"
"8","HEV10","Acrididae","Orthoptera",147,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",16.9,"3/14/18","SS","LAB"
"9","HEV10","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",16.9,"3/14/18","SS","LAB"
"10","HEV10","Blaberidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",16.9,"3/14/18","SS","LAB"
"11","HEV10","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",16.9,"3/14/18","SS","LAB"
"12","HEV10","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",16.9,"3/14/18","SS","LAB"
"13","HEV10","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",16.9,"3/14/18","SS","LAB"
"14","HEV10","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",16.9,"3/14/18","SS","LAB"
"15","HEV11","Acrididae","Orthoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",17.6,"3/14/18","SS","LAB"
"16","HEV11","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",17.6,"3/14/18","SS","LAB"
"17","HEV11","Blaberidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",17.6,"3/14/18","SS","LAB"
"18","HEV11","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",17.6,"3/14/18","SS","LAB"
"19","HEV11","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",17.6,"3/14/18","SS","LAB"
"20","HEV11","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",17.6,"3/14/18","SS","LAB"
"21","HEV11","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",17.6,"3/14/18","SS","LAB"
"22","HEV12","Acrididae","Orthoptera",50,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",17.8,"3/14/18","SS","LAB"
"23","HEV12","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",17.8,"3/14/18","SS","LAB"
"24","HEV12","Blaberidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",17.8,"3/14/18","SS","LAB"
"25","HEV12","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",17.8,"3/14/18","SS","LAB"
"26","HEV12","Elateridae","Coleoptera",249,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",17.8,"3/14/18","SS","LAB"
"27","HEV12","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",17.8,"3/14/18","SS","LAB"
"28","HEV12","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",17.8,"3/14/18","SS","LAB"
"29","HEV13","Acrididae","Orthoptera",2,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",18.6,"3/14/18","SS","LAB"
"30","HEV13","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",18.6,"3/14/18","SS","LAB"
"31","HEV13","Blaberidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",18.6,"3/14/18","SS","LAB"
"32","HEV13","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",18.6,"3/14/18","SS","LAB"
"33","HEV13","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",18.6,"3/14/18","SS","LAB"
"34","HEV13","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",18.6,"3/14/18","SS","LAB"
"35","HEV13","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","7/29/17",18.6,"3/14/18","SS","LAB"
"36","HEV14","Acrididae","Orthoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",18.8,"3/14/18","SS","LAB"
"37","HEV14","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",18.8,"3/14/18","SS","LAB"
"38","HEV14","Blaberidae","Blattodea",30,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",18.8,"3/14/18","SS","LAB"
"39","HEV14","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",18.8,"3/14/18","SS","LAB"
"40","HEV14","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",18.8,"3/14/18","SS","LAB"
"41","HEV14","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",18.8,"3/14/18","SS","LAB"
"42","HEV14","Platystomatidae","Diptera",915,"Hand","Cooper",2017,"Heteropoda venatoria","8/2/17",18.8,"3/14/18","SS","LAB"
"43","HEV15","Acrididae","Orthoptera",122,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",20.2,"3/14/18","NS","LAB"
"44","HEV15","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",20.2,"3/14/18","NS","LAB"
"45","HEV15","Blaberidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",20.2,"3/14/18","NS","LAB"
"46","HEV15","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",20.2,"3/14/18","NS","LAB"
"47","HEV15","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",20.2,"3/14/18","NS","LAB"
"48","HEV15","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",20.2,"3/14/18","NS","LAB"
"49","HEV15","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",20.2,"3/14/18","NS","LAB"
"50","HEV16","Acrididae","Orthoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",20.9,"3/14/18","SS","LAB"
"51","HEV16","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",20.9,"3/14/18","SS","LAB"
"52","HEV16","Blaberidae","Blattodea",29,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",20.9,"3/14/18","SS","LAB"
"53","HEV16","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",20.9,"3/14/18","SS","LAB"
"54","HEV16","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",20.9,"3/14/18","SS","LAB"
"55","HEV16","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",20.9,"3/14/18","SS","LAB"
"56","HEV16","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",20.9,"3/14/18","SS","LAB"
"57","HEV17","Acrididae","Orthoptera",25,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",21,"3/14/18","NS","LAB"
"58","HEV17","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",21,"3/14/18","NS","LAB"
"59","HEV17","Blaberidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",21,"3/14/18","NS","LAB"
"60","HEV17","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",21,"3/14/18","NS","LAB"
