"","sample","unique_ID","reads","Method","Island","Year","ID","Date.Collected","dada2_sample","unoise_sample","Size","Extract..Date","Sterilized","Source"
"1","HEV100","Anchiphiloscia pilosa",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"2","HEV100","Anisolabis maritima",6,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"3","HEV100","Blattodea",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"4","HEV100","Buthus mariefranceae",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"5","HEV100","Ectobiidae",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"6","HEV100","Hasarius adansoni",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"7","HEV100","Isometrus maculatus",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"8","HEV100","Limonia perkinsi",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"9","HEV100","Littorophiloscia bifasciata",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"10","HEV100","Nematocera",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"11","HEV100","Neoptera",10,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"12","HEV100","Ornebius novarae",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"13","HEV100","Orthocladiinae",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"14","HEV100","Oxya",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"15","HEV100","Pantala flavescens",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"16","HEV100","Periplaneta australasiae",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"17","HEV100","Phisis holdhausi",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"18","HEV100","Pholcus guadarfia",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"19","HEV100","Pycnoscelus",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"20","HEV100","Pycnoscelus surinamensis",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"21","HEV100","Scholastes lonchifer",659,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"22","HEV100","Tygarrup javanicus",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"23","HEV100","Xiphydria",0,"Hand","East 11",2015,"Heteropoda venatoria","","HEV.100_S22","HEV100",16.7,"10/28/19","NS","FIELD"
"24","HEV101","Anchiphiloscia pilosa",0,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
"25","HEV101","Anisolabis maritima",1,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
"26","HEV101","Blattodea",0,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
"27","HEV101","Buthus mariefranceae",0,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
"28","HEV101","Ectobiidae",0,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
"29","HEV101","Hasarius adansoni",0,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
"30","HEV101","Isometrus maculatus",0,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
"31","HEV101","Limonia perkinsi",0,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
"32","HEV101","Littorophiloscia bifasciata",0,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
"33","HEV101","Nematocera",0,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
"34","HEV101","Neoptera",219,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
"35","HEV101","Ornebius novarae",0,"Hand","Holei 1",2015,"Heteropoda venatoria","","HEV.101_S23","HEV101",16.7,"10/28/19","SS","FIELD"
