"","ASV","ID_bold","Order_bold","ID_ncbi","Order_ncbi","taxonomy"
"1","Zotu4",NA,NA,"Dothideales","","non-diet"
"2","Zotu2",NA,NA,"Tremellales","","non-diet"
"3","Zotu3",NA,NA,"Hortaea thailandica","","non-diet"
"4","Zotu148","Heteropoda venatoria","Araneae","Sparassidae","Araneae","predator"
"5","Zotu1","Heteropoda venatoria","Araneae","Sparassidae","Araneae","predator"
"6","Zotu7","Oxya","Orthoptera","Acrididae","Orthoptera","prey"
"7","Zotu84","Heteropoda venatoria","Araneae","Sparassidae","Araneae","predator"
"8","Zotu36",NA,NA,"leotiomyceta","","non-diet"
"9","Zotu46","Penicillium citrinum","Eurotiales","leotiomyceta","","non-diet"
"10","Zotu30","Heteropoda venatoria","Araneae","Sparassidae","Araneae","predator"
"11","Zotu111","Neurospora crassa","Sordariales","Neurospora crassa OR74A","","non-diet"
"12","Zotu39","Heteropoda venatoria","Araneae","Sparassidae","Araneae","predator"
"13","Zotu48",NA,NA,"Aspergillus","","non-diet"
"14","Zotu29",NA,NA,"Rhodymeniophycidae","","non-diet"
"15","Zotu63","Pycnoscelus surinamensis","Blattodea","Blattodea","Blattodea","prey"
"16","Zotu19","Mus musculus","Rodentia","Mus musculus","","non-diet"
"17","Zotu82",NA,NA,"Ascomycota","","non-diet"
"18","Zotu65",NA,NA,"leotiomyceta","","non-diet"
"19","Zotu9",NA,NA,"Sparassidae","Araneae","predator"
"20","Zotu14","Pycnoscelus","Blattodea","Blattodea","Blattodea","prey"
"21","Zotu10","Heteropoda venatoria","Araneae","Sparassidae","Araneae","predator"
"22","Zotu15","Heteropoda venatoria","Araneae","Sparassidae","Araneae","predator"
"23","Zotu21",NA,NA,"Sparassidae","Araneae","predator"
"24","Zotu18",NA,NA,"Heteropoda venatoria","Araneae","predator"
"25","Zotu32",NA,NA,"Sparassidae","Araneae","predator"
"26","Zotu92",NA,NA,"Arthrocladium","","non-diet"
"27","Zotu97",NA,NA,"Cladophialophora","","non-diet"
"28","Zotu132",NA,NA,NA,NA,"no hit"
"29","Zotu59","Heteropoda venatoria","Araneae","Sparassidae","Araneae","predator"
"30","Zotu166",NA,NA,NA,NA,"no hit"
"31","Zotu8",NA,NA,"Hypocreales","","non-diet"
"32","Zotu86",NA,NA,NA,NA,"no hit"
"33","Zotu33",NA,NA,NA,NA,"no hit"
"34","Zotu80",NA,NA,NA,NA,"no hit"
"35","Zotu53",NA,NA,NA,NA,"no hit"
"36","Zotu17","Pycnoscelus surinamensis","Blattodea","Blattodea","Blattodea","prey"
"37","Zotu5","Scholastes lonchifer","Diptera","Scholastes lonchifer","Diptera","prey"
"38","Zotu103",NA,NA,"Blattodea","Blattodea","prey"
"39","Zotu134",NA,NA,"Blattodea","Blattodea","prey"
"40","Zotu94",NA,NA,"Blattodea","Blattodea","prey"
"41","Zotu120",NA,NA,"Blattodea","Blattodea","prey"
"42","Zotu129",NA,NA,NA,NA,"no hit"
"43","Zotu43","Diploptera punctata","Blattodea","Diploptera punctata","Blattodea","prey"
"44","Zotu60",NA,NA,"Neoptera","","prey"
"45","Zotu168",NA,NA,"Penicillium sclerotiorum","","non-diet"
"46","Zotu25",NA,NA,"Neoptera","","prey"
"47","Zotu155",NA,NA,"Homo sapiens","Primates","non-diet"
"48","Zotu47",NA,NA,NA,NA,"no hit"
"49","Zotu28",NA,NA,"Neoptera","","prey"
"50","Zotu12",NA,NA,"leotiomyceta","","non-diet"
"51","Zotu76",NA,NA,NA,NA,"no hit"
"52","Zotu156",NA,NA,"Philodina","","non-diet"
