"","ASV","ID_bold","Order_bold","ID_ncbi","Order_ncbi","taxonomy"
"1","Zotu3","Oxya","Orthoptera","Acrididae","Orthoptera","prey"
"2","Zotu98","Saccharomyces cerevisiae YJM1527","Saccharomycetales","Saccharomyces cerevisiae","","non-diet"
"3","Zotu1","Scholastes lonchifer","Diptera","Scholastes lonchifer","Diptera","prey"
"4","Zotu13",NA,NA,"Neoptera","","prey"
"5","Zotu78",NA,NA,"Scholastes lonchifer","Diptera","prey"
"6","Zotu33",NA,NA,"Neoptera","","prey"
"7","Zotu2","Anisolabis maritima","Dermaptera","Anisolabis","Dermaptera","prey"
"8","Zotu15",NA,NA,"Neoptera","","prey"
"9","Zotu50",NA,NA,"Sparassidae","Araneae","predator"
"10","Zotu12",NA,NA,"Araneae","Araneae","prey"
"11","Zotu94",NA,NA,"Neoptera","","prey"
"12","Zotu86",NA,NA,"Beauveria","","non-diet"
"13","Zotu4",NA,NA,"Hypocreales","","non-diet"
"14","Zotu14",NA,NA,"unclassified Ectobiidae","Blattodea","prey"
"15","Zotu99",NA,NA,"Aspergillus","","non-diet"
"16","Zotu88",NA,NA,"Agaricomycetes","","non-diet"
"17","Zotu112",NA,NA,"Littorophiloscia bifasciata","Isopoda","prey"
"18","Zotu49","Limonia perkinsi","Diptera","unclassified Limoniidae","Diptera","prey"
"19","Zotu29",NA,NA,"Aspergillus","","non-diet"
"20","Zotu108",NA,NA,"Ascomycota","","non-diet"
"21","Zotu45","Ornebius novarae","Orthoptera","Ornebius novarae","Orthoptera","prey"
"22","Zotu6","Hasarius adansoni","Araneae","Hasarius adansoni","Araneae","prey"
"23","Zotu25","Phisis holdhausi","Orthoptera","Orthoptera","Orthoptera","prey"
"24","Zotu77","Anchiphiloscia pilosa","Isopoda","Anchiphiloscia pilosa","Isopoda","prey"
"25","Zotu96",NA,NA,"Agaricomycetes","","non-diet"
"26","Zotu105",NA,NA,"Buthus mariefranceae","Scorpiones","prey"
"27","Zotu87","Ornebius novarae","Orthoptera","Ornebius novarae","Orthoptera","prey"
"28","Zotu61",NA,NA,"Ascomycota","","non-diet"
"29","Zotu84",NA,NA,"Leohumicola","","non-diet"
"30","Zotu36",NA,NA,"Podosphaera","","non-diet"
"31","Zotu109",NA,NA,"Oomycetes","","non-diet"
"32","Zotu81","Fusarium cf. avenaceum","Hypocreales","Fusarium","","non-diet"
"33","Zotu23",NA,NA,"Tygarrup javanicus","Geophilomorpha","prey"
"34","Zotu24",NA,NA,"leotiomyceta","","non-diet"
"35","Zotu110",NA,NA,"Sordariomycetes","","non-diet"
"36","Zotu35",NA,NA,"Sordariomycetes","","non-diet"
"37","Zotu18",NA,NA,"Hypocreomycetidae","","non-diet"
"38","Zotu48","Fusarium babinda","Hypocreales","Fusarium","","non-diet"
"39","Zotu62",NA,NA,"Acremonium","","non-diet"
"40","Zotu104",NA,NA,"Torulaspora","","non-diet"
"41","Zotu52",NA,NA,"Arthrocladium","","non-diet"
"42","Zotu17","Conoderus pallipes","Coleoptera","Conoderus pallipes","Coleoptera","prey"
"43","Zotu75",NA,NA,"Acanthamoeba","Centramoebida","non-diet"
"44","Zotu41",NA,NA,"Cercospora sojina","Capnodiales","non-diet"
"45","Zotu20","Penicillium citrinum","Eurotiales","leotiomyceta","","non-diet"
"46","Zotu66",NA,NA,"Leohumicola","","non-diet"
"47","Zotu28","Pycnoscelus surinamensis","Blattodea","Blattodea","Blattodea","prey"
"48","Zotu22",NA,NA,"leotiomyceta","","non-diet"
"49","Zotu58","Neurospora crassa","Sordariales","Neurospora crassa","","non-diet"
"50","Zotu43",NA,NA,"Ascomycota","","non-diet"
"51","Zotu37",NA,NA,"leotiomyceta","","non-diet"
"52","Zotu8","Pycnoscelus sp. B103","Blattodea","Blattodea","Blattodea","prey"
"53","Zotu59",NA,NA,"Cladophialophora","","non-diet"
"54","Zotu11","Pycnoscelus surinamensis","Blattodea","Blattodea","Blattodea","prey"
"55","Zotu64",NA,NA,"Blattodea","Blattodea","prey"
"56","Zotu82",NA,NA,"Blattodea","Blattodea","prey"
"57","Zotu57",NA,NA,"Blattodea","Blattodea","prey"
"58","Zotu72",NA,NA,"Blattodea","Blattodea","prey"
"59","Zotu27","Diploptera punctata","Blattodea","Diploptera punctata","Blattodea","prey"
"60","Zotu40",NA,NA,"leotiomyceta","","non-diet"
"61","Zotu80",NA,NA,"Synchaetomella acerina","","non-diet"
"62","Zotu79",NA,NA,"Ascomycota","","non-diet"
"63","Zotu92",NA,NA,"Hemiptera sp. BIOUG03439-H02","Hemiptera","prey"
"64","Zotu103",NA,NA,"Beauveria","","non-diet"
"65","Zotu9",NA,NA,"Hypocreomycetidae","","non-diet"
"66","Zotu100",NA,NA,"Ascomycota","","non-diet"
"67","Zotu85",NA,NA,"Pleosporineae","Pleosporales","non-diet"
"68","Zotu10","Oxya","Orthoptera","Acrididae","Orthoptera","prey"
"69","Zotu54",NA,NA,"Sordariomycetes","","non-diet"
"70","Zotu5","Periplaneta australasiae","Blattodea","Periplaneta","Blattodea","prey"
"71","Zotu68",NA,NA,"Ascomycota","","non-diet"
"72","Zotu44",NA,NA,"Sporisorium scitamineum","","non-diet"
"73","Zotu56",NA,NA,"leotiomyceta","","non-diet"
"74","Zotu71",NA,NA,"Cordycipitaceae","","non-diet"
"75","Zotu89",NA,NA,"Hypocreales","","non-diet"
"76","Zotu34",NA,NA,"Saccharomycetales","","non-diet"
"77","Zotu16",NA,NA,"Blattodea","Blattodea","prey"
"78","Zotu90",NA,NA,"Pythiopsis","","non-diet"
"79","Zotu69",NA,NA,"Nematocera","Diptera","prey"
"80","Zotu107","Pycnoscelus surinamensis","Blattodea","Blattodea","Blattodea","prey"
"81","Zotu93",NA,NA,"Leotiomycetes","","non-diet"
"82","Zotu30",NA,NA,"Lichtheimia ramosa","","non-diet"
"83","Zotu102",NA,NA,"Penicillium sclerotiorum","Eurotiales","non-diet"
"84","Zotu7",NA,NA,"leotiomyceta","","non-diet"
"85","Zotu95",NA,NA,"Philodina","","non-diet"
"86","Zotu111",NA,NA,"Clavicipitaceae","","non-diet"
"87","Zotu65",NA,NA,"Sydowia","","non-diet"
"88","Zotu91",NA,NA,"Bdelloidea","","non-diet"
"89","Zotu67","Pantala flavescens","Odonata","Pantala flavescens","Odonata","prey"
"90","Zotu70","Aspergillus niger","Eurotiales","Aspergillus","Eurotiales","non-diet"
"91","Zotu46",NA,NA,"Araneomorphae","Araneae","prey"
"92","Zotu73",NA,NA,"leotiomyceta","","non-diet"
"93","Zotu21",NA,NA,"Arthrocladium","","non-diet"
"94","Zotu106",NA,NA,"Ascomycota","","non-diet"
"95","Zotu76",NA,NA,"Neoptera","","prey"
"96","Zotu60",NA,NA,"Arthropoda","","prey"
"97","Zotu74","Phytophthora nicotianae","Peronosporales","Phytophthora","","non-diet"
"98","Zotu53",NA,NA,"leotiomyceta","","non-diet"
"99","Zotu63","Periplaneta australasiae","Blattodea","Periplaneta","Blattodea","prey"
